Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Digsite Engineer,BRC,The Brothers' War Commander,71,normal,rare,1,75453,5270882b-2382-450e-bb0c-7804be4f19ea,0.22,false,false,near_mint,en,USD
Despark,BRC,The Brothers' War Commander,124,normal,uncommon,1,75390,37648ada-7912-4c98-b9eb-585d22cead7e,0.22,false,false,near_mint,en,USD
Master of Etherium,BRC,The Brothers' War Commander,86,normal,rare,1,75627,90f52cb2-3c34-4935-91b0-9ef51e6f5817,0.2,false,false,near_mint,en,USD
Vedalken Humiliator,BRC,The Brothers' War Commander,100,normal,rare,1,75445,4eb38644-a65b-4a88-a9f0-20f0805573dc,0.11,false,false,near_mint,en,USD
Mistvault Bridge,BRC,The Brothers' War Commander,189,normal,common,1,75571,7ad684fb-cfb0-48b2-802f-bda96afafdc3,0.2,false,false,near_mint,en,USD
Kayla's Music Box,BRC,The Brothers' War Commander,15,normal,rare,1,75749,c0e9819f-6bda-4fd3-8d61-3746e1e67418,0.08,false,false,near_mint,en,USD
Unbreakable Formation,BRC,The Brothers' War Commander,78,normal,rare,1,75815,d83a7b27-eb3e-4bd5-8463-9a901ed31710,0.21,false,false,near_mint,en,USD
Temple of Enlightenment,BRC,The Brothers' War Commander,206,normal,rare,1,75268,029a10c0-f589-4f56-8704-1de1bd2cb163,0.19,false,false,near_mint,en,USD
Path of Ancestry,BRC,The Brothers' War Commander,192,normal,common,1,75644,95c1557e-68dd-46be-9b1e-0a65e04fe739,0.18,false,false,near_mint,en,USD
"Alela, Artful Provocateur",BRC,The Brothers' War Commander,119,normal,mythic,1,75418,43d28c05-0ba1-4afa-a784-b71741375507,0.28,false,false,near_mint,en,USD
Swamp,BRC,The Brothers' War Commander,34,normal,common,1,75373,3122fe7c-3121-43a6-a37c-3fd17bc93a4d,0.09,false,false,near_mint,en,USD
"Teshar, Ancestor's Apostle",BRC,The Brothers' War Commander,77,normal,rare,1,75375,31b96ec5-065e-41a8-9383-2b86888f4405,0.17,false,false,near_mint,en,USD
Urza's Ruinous Blast,BRC,The Brothers' War Commander,79,normal,rare,1,75401,3baeeb19-c4f4-4e4f-97e0-52b2e512b26b,0.19,false,false,near_mint,en,USD
Temple of Deceit,BRC,The Brothers' War Commander,205,normal,rare,1,75331,1f604a40-dbe4-464f-98da-69c8125614f0,0.14,false,false,near_mint,en,USD
Arcane Sanctum,BRC,The Brothers' War Commander,173,normal,uncommon,1,75742,bdf3948c-2c20-46d8-a25d-650b989d0760,0.24,false,false,near_mint,en,USD
Indomitable Archangel,BRC,The Brothers' War Commander,72,normal,mythic,1,75847,e2d7a901-238c-4ea3-a6cb-6c9b4cea2ad6,0.33,false,false,near_mint,en,USD
Phyrexian Rebirth,BRC,The Brothers' War Commander,74,normal,rare,1,75582,7f2aa3b8-b41c-432b-9927-c7eae1d6e78e,0.17,false,false,near_mint,en,USD
Darksteel Juggernaut,BRC,The Brothers' War Commander,137,normal,rare,1,75672,a0e4cce2-9c30-4ca9-a069-cc86d4ac57e5,0.15,false,false,near_mint,en,USD
Skycloud Expanse,BRC,The Brothers' War Commander,201,normal,rare,1,75792,cf76b175-0523-48c9-afc3-dced07999710,0.16,false,false,near_mint,en,USD
Temple of Silence,BRC,The Brothers' War Commander,209,normal,rare,1,75387,36ffb731-b0b4-455e-b296-1ad46a82ab18,0.19,false,false,near_mint,en,USD
Ash Barrens,BRC,The Brothers' War Commander,174,normal,common,1,75856,e688045d-e26a-4063-bae4-89723d70c129,0.12,false,false,near_mint,en,USD
One with the Machine,BRC,The Brothers' War Commander,90,normal,rare,1,75814,d835976e-cab4-4155-b1dd-eca9cb60830e,0.18,false,false,near_mint,en,USD
